Fecha,mm
2024-02-17,12.5
2024-05-17,2
2024-06-14,35
2024-06-20,30
2024-06-21,28
2024-06-22,40
2024-06-24,10
2024-06-25,2
2024-06-29,2
2024-06-30,12
2024-07-01,13
2024-07-08,10
2024-07-09,12.5
2024-07-10,10
2024-07-12,7.5
2024-07-21,7.5
2024-07-22,5
2024-08-04,2.5
2024-08-12,2
2024-08-19,5
2024-08-22,5
2024-08-30,2.5
2024-08-31,2.5
2024-09-02,9
2024-09-07,2.5
2024-09-08,17.5
2024-09-19,10
2024-09-23,7.5
2024-09-24,12.5
2024-09-25,17.5
2024-09-26,2.5
2024-09-28,70
2024-10-03,20
2024-10-04,35
2024-10-20,45
2024-10-21,7.5
2024-12-24,5
2025-05-01,5
2025-05-02,2.5
2025-05-03,5
2025-05-04,4
2025-05-30,2
2025-05-31,5
2025-06-06,7.5
2025-06-11,5
2025-06-12,7.5
2025-06-14,17.5
2025-06-18,17.5
2025-06-21,10
2025-06-22,15
2025-06-23,5
2025-07-02,15
2025-08-04,2
2025-08-05,2.5
2025-08-06,22.5
2025-08-12,5
2025-08-14,10
2025-08-22,12.5
2025-08-23,2
2025-08-30,5
2025-09-06,10
2025-09-07,2
2025-09-10,5
2025-09-21,15
2025-09-22,2
2025-09-23,25
2025-09-26,10
2025-09-28,7.5
2025-10-08,15
2025-10-19,2.5
2026-03-30,15
2026-03-31,20
2026-04-02,2
2026-04-10,2
2026-04-25,10
2026-05-16,5
2026-05-23,30
2026-05-26,2
2026-05-31,18
2026-06-01,2
2026-06-02,4
2026-06-03,6
2026-06-05,66
2026-06-08,34
